id,firstname,lastname,email,company,nbr_commandes,total,identifié_compagnie,ID_ext
1,Prenom_1,Nom_1,client_1@example.com,Entreprise_1,2,75827.5,oui,
2,Prenom_2,Nom_2,client_2@example.com,,6,41664.755,oui,
3,Prenom_3,Nom_3,client_3@example.com,,1,35000.0,oui,
4,Prenom_4,Nom_4,client_4@example.com,,42,32672.9135,oui,
5,Prenom_5,Nom_5,client_5@example.com,,2,31205.5,oui,
6,Prenom_6,Nom_6,client_6@example.com,,2,30956.25,oui,
7,Prenom_7,Nom_7,client_7@example.com,,2,29849.050000000003,oui,
8,Prenom_8,Nom_8,client_8@example.com,,6,29140.0,non,
9,Prenom_9,Nom_9,client_9@example.com,,16,22958.93,oui,
10,Prenom_10,Nom_10,client_10@example.com,,9,22921.63,oui,
11,Prenom_11,Nom_11,client_11@example.com,,13,20189.85,oui,
12,Prenom_12,Nom_12,client_12@example.com,,8,14401.0,oui,
13,Prenom_13,Nom_13,client_13@example.com,,4,9952.92,oui,
14,Prenom_14,Nom_14,client_14@example.com,,3,9677.0,oui,
15,Prenom_15,Nom_15,client_15@example.com,Entreprise_2,9,9412.66,oui,
16,Prenom_16,Nom_16,client_16@example.com,,13,9259.06,oui,
17,Prenom_17,Nom_17,client_17@example.com,,8,8778.9,oui,
18,Prenom_18,Nom_18,client_18@example.com,,4,8320.36,oui,
19,Prenom_19,Nom_19,client_19@example.com,,6,7950.16,oui,
20,Prenom_20,Nom_20,client_20@example.com,Entreprise_3,2,7564.019999999999,oui,
21,Prenom_21,Nom_21,client_21@example.com,,5,7549.35,oui,
22,Prenom_22,Nom_22,client_22@example.com,,1,7520.0,oui,
23,Prenom_23,Nom_23,client_23@example.com,Entreprise_4,5,6827.07,oui,
24,Prenom_24,Nom_24,client_24@example.com,,3,6509.9,oui,
25,Prenom_25,Nom_25,client_25@example.com,,4,6384.61,oui,
26,Prenom_26,Nom_26,client_26@example.com,,6,5869.07,oui,
27,Prenom_27,Nom_27,client_27@example.com,,1,5868.0,oui,
28,Prenom_28,Nom_28,client_28@example.com,,6,5684.25,oui,
29,Prenom_29,Nom_29,client_29@example.com,,7,5125.5,oui,
30,Prenom_30,Nom_30,client_30@example.com,,1,5085.0,oui,
31,Prenom_31,Nom_31,client_31@example.com,,43,4930.237,oui,
32,Prenom_32,Nom_32,client_32@example.com,,3,4664.74,oui,
33,Prenom_33,Nom_33,client_33@example.com,,16,4656.11,oui,
34,Prenom_34,Nom_34,client_34@example.com,,9,4045.45,oui,
35,Prenom_35,Nom_35,client_35@example.com,,1,3956.0,oui,
36,Prenom_36,Nom_36,client_36@example.com,,1,3931.56,oui,
37,Prenom_37,Nom_37,client_37@example.com,,2,3864.0,oui,
38,Prenom_38,Nom_38,client_38@example.com,,6,3808.9,oui,
39,Prenom_39,Nom_39,client_39@example.com,,1,3592.0,oui,
40,Prenom_40,Nom_40,client_40@example.com,,3,3515.0,oui,
41,Prenom_41,Nom_41,client_41@example.com,,4,3398.57,oui,
42,Prenom_42,Nom_42,client_42@example.com,Entreprise_5,7,3361.39,oui,
43,Prenom_43,Nom_43,client_43@example.com,,6,3337.89,oui,
44,Prenom_44,Nom_44,client_44@example.com,,1,3250.0,oui,
45,Prenom_45,Nom_45,client_45@example.com,,2,3234.83,oui,
46,Prenom_46,Nom_46,client_46@example.com,Entreprise_6,13,3166.84,oui,
47,Prenom_47,Nom_47,client_47@example.com,,1,3132.5,oui,
48,Prenom_48,Nom_48,client_48@example.com,,9,3129.12,oui,
49,Prenom_49,Nom_49,client_49@example.com,,1,3053.0,non,
50,Prenom_50,Nom_50,client_50@example.com,,4,3049.91,oui,
51,Prenom_51,Nom_51,client_51@example.com,,1,3040.0,oui,
52,Prenom_52,Nom_52,client_52@example.com,,11,3037.2200000000003,oui,
53,Prenom_53,Nom_53,client_53@example.com,,6,3018.51,oui,
54,Prenom_54,Nom_54,client_54@example.com,,1,2992.5,oui,
55,Prenom_55,Nom_55,client_55@example.com,,2,2891.02,oui,
56,Prenom_56,Nom_56,client_56@example.com,,1,2886.4,non,
57,Prenom_57,Nom_57,client_57@example.com,,6,2859.06,non,
58,Prenom_58,Nom_58,client_58@example.com,,3,2823.59,non,
59,Prenom_59,Nom_59,client_59@example.com,,2,2800.0,oui,
60,Prenom_60,Nom_60,client_60@example.com,,1,2775.0,oui,
61,Prenom_61,Nom_61,client_61@example.com,,1,2720.0,oui,
62,Prenom_62,Nom_62,client_62@example.com,,1,2620.0,non,
63,Prenom_63,Nom_63,client_63@example.com,,5,2615.28,oui,
